Listening to port 4567
Connected!!!
UKF: initializing...
Lidar NIS value=3.91888
Radar NIS value=1.98459
Lidar NIS value=0.0619332
Radar NIS value=2.45508
Lidar NIS value=1.1312
Radar NIS value=5.53355
Lidar NIS value=0.629763
Radar NIS value=4.87378
Lidar NIS value=0.245315
Radar NIS value=2.00672
Lidar NIS value=2.48269
Radar NIS value=3.39848
Lidar NIS value=0.222667
Radar NIS value=3.83418
Lidar NIS value=1.92254
Radar NIS value=1.9958
Lidar NIS value=0.629753
Radar NIS value=0.409252
Lidar NIS value=2.00717
Radar NIS value=1.83493
Lidar NIS value=1.97176
Radar NIS value=1.60828
Lidar NIS value=0.935597
Radar NIS value=4.02431
Lidar NIS value=0.0170871
Radar NIS value=0.572992
Lidar NIS value=1.29238
Radar NIS value=0.302746
Lidar NIS value=0.519724
Radar NIS value=3.79396
Lidar NIS value=1.30057
Radar NIS value=0.206327
Lidar NIS value=5.3881
Radar NIS value=1.23209
Lidar NIS value=3.91854
Radar NIS value=5.49082
Lidar NIS value=1.59071
Radar NIS value=5.83072
Lidar NIS value=1.58299
Radar NIS value=3.35027
Lidar NIS value=2.04083
Radar NIS value=5.30325
Lidar NIS value=1.98558
Radar NIS value=3.04714
Lidar NIS value=0.951042
Radar NIS value=3.15188
Lidar NIS value=0.569688
Radar NIS value=3.18529
Lidar NIS value=0.360776
Radar NIS value=0.939462
Lidar NIS value=2.73977
Radar NIS value=0.385767
Lidar NIS value=1.41028
Radar NIS value=4.44684
Lidar NIS value=4.53819
Radar NIS value=0.465712
Lidar NIS value=0.621147
Radar NIS value=0.427774
Lidar NIS value=1.26489
Radar NIS value=2.17846
Lidar NIS value=0.283521
Radar NIS value=3.21251
Lidar NIS value=1.87151
Radar NIS value=0.251729
Lidar NIS value=0.0653355
Radar NIS value=5.25864
Lidar NIS value=3.72647
Radar NIS value=1.18522
Lidar NIS value=0.849767
Radar NIS value=7.15437
Lidar NIS value=0.669675
Radar NIS value=0.814334
Lidar NIS value=3.7805
Radar NIS value=1.61775
Lidar NIS value=3.46472
Radar NIS value=1.3458
Lidar NIS value=3.28428
Radar NIS value=1.64578
Lidar NIS value=2.75482
Radar NIS value=1.17786
Lidar NIS value=0.372003
Radar NIS value=2.91415
Lidar NIS value=1.47472
Radar NIS value=1.36925
Lidar NIS value=4.22058
Radar NIS value=2.71103
Lidar NIS value=1.51564
Radar NIS value=3.16227
Lidar NIS value=1.41945
Radar NIS value=2.9092
Lidar NIS value=0.960277
Radar NIS value=0.383235
Lidar NIS value=1.63963
Radar NIS value=4.54537
Lidar NIS value=5.4452
Radar NIS value=2.06512
Lidar NIS value=2.14306
Radar NIS value=2.12936
Lidar NIS value=0.474268
Radar NIS value=4.89756
Lidar NIS value=1.5119
Radar NIS value=8.07509
Lidar NIS value=0.507494
Radar NIS value=1.66172
Lidar NIS value=0.1773
Radar NIS value=0.530865
Lidar NIS value=2.1145
Radar NIS value=1.75709
Lidar NIS value=0.272576
Radar NIS value=3.88161
Lidar NIS value=3.12296
Radar NIS value=1.04017
Lidar NIS value=1.14517
Radar NIS value=4.82867
Lidar NIS value=14.5288
Radar NIS value=1.56693
Lidar NIS value=0.833031
Radar NIS value=2.57103
Lidar NIS value=1.06443
Radar NIS value=1.9871
Lidar NIS value=1.18389
Radar NIS value=6.10578
Lidar NIS value=0.0417193
Radar NIS value=2.2616
Lidar NIS value=1.51724
Radar NIS value=0.74531
Lidar NIS value=6.32891
Radar NIS value=3.05974
Lidar NIS value=2.14984
Radar NIS value=2.13036
Lidar NIS value=0.755658
Radar NIS value=0.915826
Lidar NIS value=2.28197
Radar NIS value=1.92778
Lidar NIS value=2.92499
Radar NIS value=3.46196
Lidar NIS value=5.30544
Radar NIS value=0.300781
Lidar NIS value=2.85205
Radar NIS value=1.82785
Lidar NIS value=0.386445
Radar NIS value=1.26584
Lidar NIS value=0.596631
Radar NIS value=6.05142
Lidar NIS value=0.528954
Radar NIS value=0.122376
Lidar NIS value=0.564718
Radar NIS value=11.4703
Lidar NIS value=1.74441
Radar NIS value=3.19389
Lidar NIS value=4.1319
Radar NIS value=0.169564
Lidar NIS value=1.43129
Radar NIS value=1.7505
Lidar NIS value=5.90325
Radar NIS value=1.27116
Lidar NIS value=1.02705
Radar NIS value=2.06553
Lidar NIS value=1.20447
Radar NIS value=1.59314
Lidar NIS value=0.000530865
Radar NIS value=5.14594
Lidar NIS value=0.711988
Radar NIS value=2.29264
Lidar NIS value=2.61992
Radar NIS value=2.751
Lidar NIS value=1.37407
Radar NIS value=1.83399
Lidar NIS value=2.62215
Radar NIS value=6.51088
Lidar NIS value=0.263272
Radar NIS value=8.39066
Lidar NIS value=0.591264
Radar NIS value=0.411623
Lidar NIS value=0.857404
Radar NIS value=0.523897
Lidar NIS value=0.137703
Radar NIS value=3.16101
Lidar NIS value=1.40953
Radar NIS value=2.10009
Lidar NIS value=0.326947
Radar NIS value=1.14208
Lidar NIS value=3.68843
Radar NIS value=0.57741
Lidar NIS value=2.12542
Radar NIS value=9.01943
Lidar NIS value=0.394734
Radar NIS value=2.32353
Lidar NIS value=0.992314
Radar NIS value=0.822214
Lidar NIS value=1.19696
Radar NIS value=3.05958
Lidar NIS value=0.0308234
Radar NIS value=4.74759
Lidar NIS value=0.0564779
Radar NIS value=1.51136
Lidar NIS value=4.38958
Radar NIS value=5.49521
Lidar NIS value=0.964406
Radar NIS value=1.71221
Lidar NIS value=0.311294
Radar NIS value=2.4771
Lidar NIS value=2.09403
Radar NIS value=5.62298
Lidar NIS value=0.0350298
Radar NIS value=1.56319
Lidar NIS value=4.67806
Radar NIS value=5.54892
Lidar NIS value=2.94036
Radar NIS value=4.93081
Lidar NIS value=1.3158
Radar NIS value=1.3611
Lidar NIS value=0.570193
Radar NIS value=0.819651
Lidar NIS value=0.700864
Radar NIS value=4.76526
Lidar NIS value=6.17662
Radar NIS value=1.70653
Lidar NIS value=0.691101
Radar NIS value=5.59307
Lidar NIS value=2.72331
Radar NIS value=2.95818
Lidar NIS value=0.561
Radar NIS value=0.366193
Lidar NIS value=0.583082
Radar NIS value=0.0344648
Lidar NIS value=1.05743
Radar NIS value=0.431422
Lidar NIS value=1.44697
Radar NIS value=0.249129
Lidar NIS value=2.17812
Radar NIS value=7.51419
Lidar NIS value=0.211153
Radar NIS value=6.61572
Lidar NIS value=2.08257
Radar NIS value=0.566555
Lidar NIS value=7.77754
Radar NIS value=1.54083
Lidar NIS value=0.723632
Radar NIS value=0.302656
Lidar NIS value=3.75416
Radar NIS value=1.17668
Lidar NIS value=2.16811
Radar NIS value=0.37404
Lidar NIS value=1.93112
Radar NIS value=2.74541
Lidar NIS value=0.779013
Radar NIS value=9.15499
Lidar NIS value=2.70466
Radar NIS value=0.334458
Lidar NIS value=1.01271
Radar NIS value=6.67689
Lidar NIS value=2.03531
Radar NIS value=3.86569
Lidar NIS value=0.718519
Radar NIS value=2.5118
Lidar NIS value=1.04304
Radar NIS value=6.37326
Lidar NIS value=4.2816
Radar NIS value=1.45909
Lidar NIS value=6.21716
Radar NIS value=1.80951
Lidar NIS value=0.658566
Listening to port 4567
Connected!!!
UKF: initializing...
Lidar NIS value=0.00901859
Radar NIS value=4.04583
Lidar NIS value=0.755728
Radar NIS value=3.62088
Lidar NIS value=0.956376
Radar NIS value=0.138638
Lidar NIS value=0.691063
Radar NIS value=1.49724
Lidar NIS value=2.50137
Radar NIS value=1.00449
Lidar NIS value=1.08239
Radar NIS value=4.97522
Lidar NIS value=3.7928
Radar NIS value=6.90989
Lidar NIS value=2.45597
Radar NIS value=0.348703
Lidar NIS value=2.07302
Radar NIS value=2.86981
Lidar NIS value=3.23505
Radar NIS value=0.403777
Lidar NIS value=3.38703
Radar NIS value=6.13084
Lidar NIS value=0.311142
Radar NIS value=0.883539
Lidar NIS value=4.74096
Radar NIS value=6.55426
Lidar NIS value=3.2365
Radar NIS value=4.64929
Lidar NIS value=1.06659
Radar NIS value=0.87969
Lidar NIS value=1.28423
Radar NIS value=1.98966
Lidar NIS value=0.137061
Radar NIS value=3.90431
Lidar NIS value=0.215044
Radar NIS value=4.19605
Lidar NIS value=0.312756
Radar NIS value=4.32989
Lidar NIS value=0.494436
Radar NIS value=5.63215
Lidar NIS value=1.1189
Radar NIS value=3.29997
Lidar NIS value=4.72532
Radar NIS value=5.78356
Lidar NIS value=1.81935
Radar NIS value=1.55108
Lidar NIS value=0.488418
Radar NIS value=1.20109
Lidar NIS value=3.15319
Radar NIS value=0.264314
Lidar NIS value=0.416452
Radar NIS value=1.81091
Lidar NIS value=0.183739
Radar NIS value=1.53976
Lidar NIS value=0.421232
Radar NIS value=0.15682
Lidar NIS value=0.688569
Radar NIS value=4.79446
Lidar NIS value=1.2987
Radar NIS value=3.41717
Lidar NIS value=1.21862
Radar NIS value=1.71597
Lidar NIS value=0.15168
Radar NIS value=5.23608
Lidar NIS value=0.15222
Radar NIS value=0.107861
Lidar NIS value=2.25101
Radar NIS value=0.814923
Lidar NIS value=0.392394
Radar NIS value=1.9669
Lidar NIS value=2.15751
Radar NIS value=2.2595
Lidar NIS value=1.17962
Radar NIS value=0.761288
Lidar NIS value=0.844239
Radar NIS value=5.65232
Lidar NIS value=0.473885
Radar NIS value=1.09524
Lidar NIS value=7.25399
